case_id,city,source_url,publish_date,title,content,department,process,result,conflict_type
GZ_001,广州,http://www.gz.gov.cn/,2026-03-27,反映乱摆卖、垃圾清理等街面问题,市民反映，广东省广州市南沙区黄阁镇黄阁镇海头新街16号，卫生环境差，暴露垃圾（未倒入容器）,广州市南沙区人民政府-黄阁镇,3月30日立即调查，已安排人员清理干净垃圾,已解决,环境卫生问题
GZ_002,广州,http://www.gz.gov.cn/,2026-04-08,反映化粪池满溢问题,市民反映，颐康中心旁边，致爱学校侧门处，从2026年3月开始化粪池水涌出，气温难闻，大量排泄物和污水到街道中，非常不便居民生活。,广州市荔湾区人民政府-龙津街道办事处,4月9日立即调查，街道已督促物业公司清理路面污水并对排污管进行修复,已解决,环境卫生问题
GZ_003,广州,http://www.gz.gov.cn/,2026-04-09,反映道路桥梁设施问题,市民反映，人行天桥电梯损坏，无法通行，严重影响老弱残疾人士正常通行,广州市荔湾区人民政府-区住房建设园林局,4月10日立即解决，已修复完成,已解决,公共设施问题
GZ_004,广州,http://www.gz.gov.cn/,2026-04-04,反映广告招牌问题,市民反映，广告牌正对卧室，希望将灯光牌换到其他三面墙,广州市天河区人民政府-猎德街,院方现场负责人承诺暂不会再开启灯牌灯光,已解决,公共设施问题
GZ_005,广州,http://www.gz.gov.cn/,2026-04-06,反映夜间超时施工问题,市民反映，凌晨2点施工，严重扰民，影响恶劣。赶工也不能以民众的休息为代价,广州市白云区人民政府-新市街,4月7日立即解决，已约谈施工方，责令其要严格按照施工时间进行施工,已解决,噪声扰民问题
GZ_006,广州,http://www.gz.gov.cn/,2026-05-25,反映公共设施问题,广东省广州市荔湾区岭南街道光复中路（祥金里4号）存在路灯不亮问题，希望尽快更换高亮路灯,广东电网有限责任公司广州供电局,5月26日经核查，因灯具故障导致路灯不亮，已经修复，恢复亮灯,已解决,公共设施问题
GZ_007,广州,http://www.gz.gov.cn/,2026-05-24,反映噪声扰民问题,广东省广州市白云区江高镇环镇西路155号（广东技术师范大学(白云校区)小塘公寓，请制止在周末早上施工，学生也需要休息,广州市白云区人民政府-江高镇,已督促装修单位在周末严格遵守装修相关规定，周末严禁噪音装修，要求施工方调整作业安排，将高噪音工序严格集中在工作日8:00-12:00及14:00-18:00进行。后续，我们将持续跟进监管，督促施工方文明施工，减少扰民。,已解决,环境卫生问题
GZ_008,广州,http://www.gz.gov.cn/,2026-05-24,反映交通治安设施问题,广州市海珠区南田路，在广东药学院总站公交站旁边的人行横道的红绿灯，灯杆下方的盖子缺失，建议及时维护。,广州市公安局,大队已安排维修人员对该信号灯缺失的孔盖进行补装，现可以正常使用,已解决,公共设施问题
GZ_009,广州,http://www.gz.gov.cn/,2026-05-21,反映特种设备问题,D栋四台电梯经常故障（尤其是3号电梯）一直在原楼层自行开门关门不下行，严重影响出行效率，反映物业很久，也未解决，希望相关部门能推进一下进度，严重影响出行效率 电梯故障也有安全隐患！,广州市增城区人民政府-区市场监管局,我局于2026年5月22日前往被举报人处核查，被举报人表示已对该电梯进行深入排查，故障原因为门缝进有异物，现已排除故障。执法人员现场督促使用单位依法落实电梯使用安全主体责任，做好日常巡查和隐患闭环管理。,已解决,公共设施问题
GZ_010,广州,http://www.gz.gov.cn/,2026-05-20,反映夜间超时施工问题,2026年5月19日晚上8点该涉事地点一直施工到次日凌晨2点，在20日凌晨12点半时致电该辖区派出所前去调停，但派出所的民警回电时称已告知该单位停止深夜施工，但仍听到现场施工噪声，令人无法入睡！建议施工时间不要超过晚上10点，毕竟孩子要睡觉，大人要上班，大家都需要一个好的睡眠来补充能量。,广州市天河区人民政府-元岗街,我街高度重视，立即安排执法人员前往现场核查处置.5月21日15时49分我街工作人员已电话与您取得联系，说明工地相关情况。后续，我街将对该项目施工时间将严格规范管理，最大限度减少对周边居民正常休息的影响。,已解决,噪声扰民问题
GZ_011,广州,http://www.gz.gov.cn/,2026-05-20,反映乱停乱放问题,小区门前乱停车问题，希望相关部门如何处理:要求社区督促周边业主遵守文明规范,广州市增城区人民政府-新塘镇,针对这一问题，工作人员采取了以下措施：一是加强社区文明交通出行的宣传教育，提升居民遵守交通规则的自觉性；二是加强现场引导，发现违规乱停车现象时，及时进行劝离，并引导车主将车辆停放到指定车位。 近期，工作人员已对公园中路附近占道停放的车辆车主进行了警示提醒，指引其前往附近停车场停车。,已解决,公共设施问题
