news_id,city,media,original_url,report_date,title,content,conflict_type,solution,departments,note
GZ_news_001,广州,澎湃新闻,https://www.thepaper.cn/newsDetail_forward_31624545,2025-09-17,门禁成了“催费喇叭”，这事对吗？,广州市花都区某某街道引入“AI网格员”系统，通过分析12345历史工单和社交媒体舆情，自动识别噪音、漏水等高频矛盾苗头。3月25日，系统预警某小区两户居民因宠物叫声产生争执倾向，网格员提前上门调解，双方握手言和。街道负责人表示，系统上线后同类投诉下降30%。,物业矛盾,业主向12345举报投诉后，花都区炭步镇人民政府出具整改通知，要求物管公司服务好业主，同时可私下电话或微信催费；物业应改善服务质量，从源头上解决业主拒费的真实原因，避免不当催费手段。,花都区炭步镇人民政府、12345热线,
GZ_news_002,广州,羊城晚报,https://news.ycwb.com/ikimvkotji/content_54059404.htm,2026-04-12,广州一六旬阿婆乘公交车时从座位上起身走动，忽遇急刹车摔倒致九级伤残，起诉索赔 34 万余元；法院驳回：公交公司及司机均不存在任何过错,年过六旬的李婆婆搭乘某公交车，车辆行驶途中从座位上起身走动且未采取任何安全措施，恰逢司机为避让突然变道的其他车辆紧急刹车，李婆婆摔倒致骨折、关节半脱位，构成九级伤残。交警认定为交通意外事故，司机与乘客均无责任。李婆婆起诉公交公司及司机索赔 34 万余元，广州市白云区人民法院经审理判决驳回其全部诉讼请求。,运输合同纠纷,法院依法审理，依据《民法典》第八百二十三条及《广州市公共汽车电车乘车守则》，认定公交公司及司机无过错、李婆婆存在重大过失，驳回原告诉讼请求,广州市白云区人民法院、交警部门,判决已生效，明确乘客乘车需遵守 “坐稳扶好” 义务，公交公司仅在存在过错时承担责任
GZ_news_003,广州,金羊网,https://news.ycwb.com/ikimvkotkb/content_54055692.htm,2026-04-09,广州荔湾：维修师傅变骑手，街角 “暖骑安检站” 点亮深夜修车灯,广州荔湾区东漖街道，维修店店主阿 Ben 为解决外卖骑手送餐途中车辆抛锚的难题，亲自体验骑手工作，在东漖街道党群服务中心、荔湾区新就业群体俱乐部支持下，开设当地首个 “暖骑安检站”，为骑手提供免费车辆安检、应急维修服务；同时以 “老带新” 模式，为社区失业人员、“4050” 就业困难群体提供维修技能培训，推动技能传承与基层治理结合，打造党建引领下的新就业群体服务阵地。,新就业群体服务需求,党建引领搭建服务平台，由街道党群服务中心牵头，招募维修师傅开设 “暖骑安检站”，提供免费安检维修服务，同步开展技能培训帮扶就业,荔湾区东漖街道办事处、东漖街道党群服务中心、荔湾区新就业群体俱乐部,该项目是荔湾区党建引领基层治理创新的典型案例，已成为骑手口口相传的 “避风港”，后续计划在更多社区复制推广
GZ_news_004,广州,羊城晚报,https://news.ycwb.com/ikimvkotjo/content_54062728.htm,2026-04-14,广州一市民收到疑似诈骗取件短信，标题为 “丰巢” 而非 “丰巢”，短信预留私人手机号码，丰巢回应：如取件有问题，不会让用户拨打私人号码,广州越秀区一市民收到仿冒 “丰巢”（实为 “丰巢”）的快递取件诈骗短信，短信预留 2 个重庆私人手机号，回拨无法接通。丰巢科技回应：官方取件短信仅通过 106 开头正规号码发送，绝不会留私人手机号；广州市公安局刑侦支队 “广州反诈” 发布提醒，此类诈骗针对中老年群体，切勿回拨陌生号码、点击链接或下载非官方 APP。丰巢已在广州社区快递柜张贴反诈宣传，通过多平台发布防骗提示。,社区电信诈骗,1. 丰巢官方发布防骗声明，明确官方取件通知渠道，在社区快递柜张贴反诈宣传；2. 广州反诈部门发布反诈提醒，科普诈骗套路与防范方法；3. 媒体曝光诈骗手段，提升市民防范意识,广州市公安局刑事侦查支队（广州反诈）、丰巢科技、越秀区社区居委会,该诈骗通过仿冒品牌名、预留私人手机号实施，是社区高频诈骗类型，丰巢与反诈部门联动开展社区反诈宣传，提升居民防范能力
GZ_news_005,广州,金羊网,https://news.ycwb.com/ikimvkhtij/content_54022084.htm,2026-03-21,10 户业主集资改造！广州花都又有危旧房自主更新项目动工,广州花都区花东镇推广社区复兴街 2 号 - 9 号（骑楼街）为上世纪 60 年代建成的 D 级危房，存在严重安全隐患。2025 年 3 月，10 户业主提出自主改造申请，花都区、镇、社区三级联动，以党建引领、政策创新、全程服务保障项目落地，创新 “业主自主出资、政府引导服务” 模式，实现 100% 业主签约，项目于 2026 年 3 月 20 日正式动工，预计 2027 年 3 月完工，将重塑岭南骑楼风貌，打造共建共治共享的城市更新样板。,危旧房改造民生需求,1. 党建引领凝聚共识，党员干部入户宣讲、化解分歧；2. 区、镇、社区三级联动，成立专项工作组，全流程服务审批；3. 出台区级危旧房自主更新试点方案 2.0，破解产权、规划、审批难题；4. 优化设计方案，兼顾风貌保护与居住需求，实现 100% 业主签约,花都区委、区政府，花东镇人民政府，推广社区居委会，花都区住房城乡建设局，市规划和自然资源局花都区分局,该项目是广州成片连片私人物业危旧房自主更新的典型范例，创新 “业主主导、政府服务” 模式，为城市更新与社区治理提供可复制经验，后续将在全区推广
GZ_news_006,广州,金羊网,https://news.ycwb.com/ikimvkntkb/content_54109513.,2026-05-09,记者帮｜广州一省道路口变露天车场，交警：对 10 台违停车辆依法处罚,网友爆料广州省道 S116 大观中路（科学城路口、光谱西路交汇口）路面违规停放多台机动车，记者实地走访发现路口公交站旁至少 9 台车辆占道停放；记者将线索提交至 “天河大队队长信箱”，交管部门依据《广东省道路交通安全条例》第二十四条处置，5 月 8 日天河交警到场查处 10 台违停车辆。该路段本年度违停执法已达 216 宗，交警后续将出台长效整治措施治理违停乱象。,道路交通违规停车治理矛盾,1. 记者线索转交交管部门；2. 交警现场核查，依据《广东省道路交通安全条例》对违停车辆依法处罚；3. 调研长效管控方案，常态化整治路段违停,广州市交警支队天河大队,该点位属于违停高发路段，年内已累计执法 216 起，需长效管控
GZ_news_007,广州,金羊网,https://news.ycwb.com/ikimvkntkb/content_54109257.,2026-05-09,记者帮｜广州两家普拉提馆突然闭店，超 60 万元预付款难追回，有学员报警,广州荔湾区楚柔普拉提生活馆、越秀区戈芮思运动美学空间先后突然闭店，两家门店存在股东、人员交叉关联，疑似同一运营主体。楚柔涉及学员 30 余人、未退预付金 20 万余元；戈芮思涉及近百名学员、未退预付金 40 万余元，合计涉预付金额超 60 万元。部分前教练明知门店经营恶化仍诱导学员续费，还提出需加倍购新课才可承接剩余课时。学员通过 12345 热线投诉、属地派出所报警、法院立案多渠道维权；荔湾区市监局已涉事企业列入经营异常名录，越秀区文广旅体局仅能做协调，无处罚权限，律师提示消费者可依法起诉退款，恶意预收费跑路涉嫌诈骗,社区周边预付式消费纠纷（社区营商与居民消费权益治理）,1. 学员：12345 投诉 + 报警 + 法院立案维权；2. 荔湾区市监局：现场核查、涉事企业列入经营异常名录，查实违规依法查处；3. 越秀区文广旅体局：居中协调，协调无果指引消费者仲裁、诉讼；4. 律师指导消费者依据消保法、新规主张退费,荔湾区市场监督管理局、越秀区文化广电旅游体育局、属地派出所、荔湾区人民法院,属于社区商业预付卡跑路典型治理案例，跨荔湾、越秀两区，预付消费纠纷是社区常态化治理重点问题
GZ_news_008,广州,金羊网,https://news.ycwb.com/ikimvkntkc/content_54107136.,2026-05-08,广州 50 万粉丝 “捡瓶小狗”，疑被 “毒狗团伙” 盯上，目前只能被迫困在家中,网红小狗 “小白” 坚持 5 年沿街捡瓶，全网粉丝超 50 万，捡瓶 + 自媒体收益累计 10 万元，主人将部分收入用于社区流浪动物救助。近日有热心粉丝发现，一个网络虐宠团伙盯上小白，团伙成员（家住天河六运小区）泄露主人隐私、在群内密谋投毒害犬；为避险，主人暂停小白外出活动、全天候圈养看护，已留存聊天记录等证据，准备提交公安机关报案，同时呼吁抵制毒狗虐宠行为,社区治安治理,1. 主人留存聊天、隐私泄露等证据，移交公安机关立案处置；2. 居家圈养小狗规避人身伤害风险；3. 媒体曝光呼吁社会抵制虐宠、毒狗违法行径,天河区辖区派出所,涉及社区养宠安全、网络恶意扰民、个人隐私泄露问题，属于社区治安与文明养宠治理典型案例
GZ_news_009,广州,金羊网,https://news.ycwb.com/ikimvkntkm/content_54104688,2026-05-06,多方联动，破解视力残障夫妇离婚难题,广州白云区一对视力残障夫妻因生活习惯矛盾均自愿离婚，但受身体障碍影响无法自主办理离婚手续，向广州市妇联万事兴维权综合服务中心白云区分站求助；站点启用 “法律 + 社工” 模式，联动公益律师、驻法院社工、承办法官，全程协助二人沟通协商、梳理材料、对接法院流程，顺利办结离婚；当事人送锦旗致谢，白云区妇联后续将持续完善多部门联动机制，精准帮扶残障、妇女等特殊群体,弱势群体帮扶类社区治理,1. 妇联站点对接公益律师开展婚前协商调解；2. 派驻法院社工联动承办法官，优化办事流程、全程代办协助立案手续；3. 建立长效联动服务机制，常态化帮扶特殊困难群众,广州市妇联万事兴维权综合服务中心白云区分站、公益律师、白云区人民法院,典型的多部门联动化解特殊人群民生难题案例，是基层妇联助力社区家庭治理、特殊群体权益保障的示范事项
GZ_news_010,广州,羊城晚报,https://news.ycwb.com/ikimvkntjo/content_54117594.,2026-05-14,广州一小区施工围蔽人行道，人车混行家长学生出行隐患重重，有关部门：进一步整改,增城区合生湖山国际七期业主投诉，小区三期在建工地占用红线内人行道实施围蔽施工，项目紧邻合生育才学校、合美湖山幼儿园，在校师生超 2700 人；原有道路狭窄，围蔽后上下学高峰期人车混行、大型工程车出入，已发生学生交通事故，家长担忧孩子通行安全。业主通过 12345 热线、媒体求助，施工方称占道在施工红线内，承诺优化围挡与交通设施；增城区住建局、新塘镇政府先后两次现场核查，责令施工方限时整改：错峰管控施工车辆、增设斑马线 / 减速带 / 反光镜、配备专职交通疏导员，后续主管部门将常态化巡查管控,小区施工占道引发校园周边居民出行安全纠纷,1. 业主通过 12345 政务热线 + 媒体渠道反馈出行隐患；2. 属地住建、新塘镇政府现场督办，分阶段下达整改细则；3. 施工方落实优化围挡、增设交通安全设施、错峰禁行工程车、配置专职疏导员等整改举措；4. 主管部门建立长效巡检机制，巩固整改效果,广州市增城区住房和城乡建设局、增城区新塘镇人民政府、合生湖山花园三期施工单位,典型校园周边施工扰民类社区治理案例，涉及数千名师生日常出行安全，多部门联动落地整改闭环
