news_id,department_name
GZ_news_001,花都区炭步镇人民政府
GZ_news_001,12345热线
GZ_news_002,广州市白云区人民法院
GZ_news_002,交警部门
GZ_news_003,荔湾区东漖街道办事处
GZ_news_003,东漖街道党群服务中心
GZ_news_003,荔湾区新就业群体俱乐部
GZ_news_004,广州市公安局刑事侦查支队（广州反诈）
GZ_news_004,丰巢科技
GZ_news_004,越秀区社区居委会
GZ_news_005,花都区委
GZ_news_005,区政府，花东镇人民政府，推广社区居委会，花都区住房城乡建设局，市规划和自然资源局花都区分局
GZ_news_006,广州市交警支队天河大队
GZ_news_007,荔湾区市场监督管理局
GZ_news_007,越秀区文化广电旅游体育局
GZ_news_007,属地派出所
GZ_news_007,荔湾区人民法院
GZ_news_008,天河区辖区派出所
GZ_news_009,广州市妇联万事兴维权综合服务中心白云区分站
GZ_news_009,公益律师
GZ_news_009,白云区人民法院
GZ_news_010,广州市增城区住房和城乡建设局
GZ_news_010,增城区新塘镇人民政府
GZ_news_010,合生湖山花园三期施工单位
GZ_news_011,番禺区石楼镇赤岗村网格工作站
GZ_news_011,辖区辅警
GZ_news_011,石楼镇平安法治办
GZ_news_012,黄埔区穗东街道综合行政执法办
GZ_news_012,社区民警
GZ_news_012,街道网格工作站
GZ_news_013,海珠区南华西街综治中心
GZ_news_013,街道平安办
GZ_news_013,司法所
GZ_news_013,社区律师
GZ_news_013,属地居委会
GZ_news_014,荔湾区南源街道西焦社区（网格员 / 社区工作人员）
GZ_news_014,街道综合行政执法队
GZ_news_015,从化区化龙镇明经村网格工作站
GZ_news_016,越秀区六榕街综治中心
GZ_news_016,街道劳监部门
GZ_news_016,司法所
GZ_news_016,辖区公安
GZ_news_017,荔湾区站前街道综治中心（商圈调解工作站）
GZ_news_017,荔湾区人民法院
GZ_news_018,广州市白云区太和镇人民政府
GZ_news_018,和龙村村委（基层网格员）
GZ_news_019,广州市黄埔区综治中心
GZ_news_020,广州市白云区钟落潭镇人民政府
GZ_news_020,马洞村村委
GZ_news_020,村级治安联防最小应急单元
GZ_news_021,广州市白云区鹤龙街道办
GZ_news_021,鹤龙司法所
GZ_news_021,辖区社区居委会
GZ_news_021,片区网格员
GZ_news_022,广州市白云区黄石街道广外大社区居委会
GZ_news_022,黄石派出所
GZ_news_022,社区街坊调解员
GZ_news_023,广州市白云区鹤龙街道办
GZ_news_023,鹤边派出所
GZ_news_023,员村社区居委会
GZ_news_023,片区网格员
GZ_news_023,番禺区公安 / 检察院 / 法院
GZ_news_023,街道社工站
GZ_news_023,民政部门
GZ_news_024,广州市南沙区港湾街道办
GZ_news_024,港湾派出所
GZ_news_024,辖区物业
GZ_news_024,社区最小应急单元
GZ_news_025,广州市越秀区公安分局反诈中心
GZ_news_025,“广州街坊・越秀邻里” 社区服务队
GZ_news_025,街道综治
GZ_news_025,楼栋长及出租屋管理员
GZ_news_026,广州市白云区黄石街道马务社区
GZ_news_026,社区网格员
GZ_news_027,广州公交集团巴士公司
GZ_news_027,广东省水电医院
GZ_news_028,天河区棠下街道棠德南社区
